Region,Country,Location,Site,Source,Lat,Long,MAP,MAP_data_flag,Woody_cover,Clay,Sand,Soil_N,Total_P,N_min_potential,Fire_return,Fire_return_data_source_flag,Herbivore_biomass,Herbivore_biomass_data_flag,Grazer_biomass,Browser_and_mixed_feeder_biomass,Site_Description,Cover_method,Woody_cover_data_flag,Total_plot_size_or_Transect_length,Depth_of_soil_measurements,Dominant_woody_species
East Africa,Tanzania,Serengeti National Park,56,"Metzker, K./ Coughenour, M - unpublished",-2.761,35.131,593,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,57,"Metzker, K./ Coughenour, M - unpublished",-2.785,35.13,595,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),2.2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,58,"Metzker, K./ Coughenour, M - unpublished",-2.796,35.128,597,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),4.8,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,59,"Metzker, K./ Coughenour, M - unpublished",-2.777,35.126,596,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),3.6,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,60,"Metzker, K./ Coughenour, M - unpublished",-2.701,35.127,594,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,61,"Metzker, K./ Coughenour, M - unpublished",-2.702,35.138,592,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.1,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,62,"Metzker, K./ Coughenour, M - unpublished",-2.703,35.148,587,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,63,"Metzker, K./ Coughenour, M - unpublished",-2.703,35.154,587,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.1,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,64,"Metzker, K./ Coughenour, M - unpublished",-2.704,35.166,584,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.8,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,65,"Metzker, K./ Coughenour, M - unpublished",-2.682,35.154,587,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,66,"Metzker, K./ Coughenour, M - unpublished",-2.69,35.154,587,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,67,"Metzker, K./ Coughenour, M - unpublished",-2.7,35.154,587,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),3,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,68,"Metzker, K./ Coughenour, M - unpublished",-2.707,35.153,587,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,69,"Metzker, K./ Coughenour, M - unpublished",-3.068,35.413,746,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,70,"Metzker, K./ Coughenour, M - unpublished",-3.06,35.417,737,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),1.7,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Acacia tortilis
East Africa,Tanzania,Serengeti National Park,71,"Metzker, K./ Coughenour, M - unpublished",-2.668,35.418,565,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),3.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,72,"Metzker, K./ Coughenour, M - unpublished",-2.655,35.419,564,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,73,"Metzker, K./ Coughenour, M - unpublished",-2.651,35.42,564,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,74,"Metzker, K./ Coughenour, M - unpublished",-2.669,35.413,565,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),4.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,75,"Metzker, K./ Coughenour, M - unpublished",-2.674,35.411,566,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),8.8,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,76,"Metzker, K./ Coughenour, M - unpublished",-2.673,35.435,566,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),2.9,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,77,"Metzker, K./ Coughenour, M - unpublished",-2.671,35.426,565,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),1.1,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,78,"Metzker, K./ Coughenour, M - unpublished",-2.672,35.41,565,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),8.3,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,79,"Metzker, K./ Coughenour, M - unpublished",-2.67,35.405,565,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),8.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,80,"Metzker, K./ Coughenour, M - unpublished",-2.746,35.369,572,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,81,"Metzker, K./ Coughenour, M - unpublished",-2.752,35.321,572,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,82,"Metzker, K./ Coughenour, M - unpublished",-2.769,35.289,575,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),4.6,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,83,"Metzker, K./ Coughenour, M - unpublished",-2.774,35.311,575,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),2.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,84,"Metzker, K./ Coughenour, M - unpublished",-2.807,35.242,581,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.3,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,85,"Metzker, K./ Coughenour, M - unpublished",-2.808,35.214,585,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,86,"Metzker, K./ Coughenour, M - unpublished",-2.857,35.491,647,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Acacia tortilis
East Africa,Tanzania,Serengeti National Park,87,"Metzker, K./ Coughenour, M - unpublished",-2.858,35.494,647,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,88,"Metzker, K./ Coughenour, M - unpublished",-2.858,35.509,661,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Acacia tortilis
East Africa,Tanzania,Serengeti National Park,89,"Metzker, K./ Coughenour, M - unpublished",-2.858,35.513,661,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Acacia tortilis
East Africa,Tanzania,Serengeti National Park,90,"Metzker, K./ Coughenour, M - unpublished",-2.861,35.513,661,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Acacia tortilis
East Africa,Tanzania,Serengeti National Park,91,"Metzker, K./ Coughenour, M - unpublished",-2.876,35.513,674,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),1.1,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Acacia tortilis
East Africa,Tanzania,Serengeti National Park,92,"Metzker, K./ Coughenour, M - unpublished",-2.857,35.521,668,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,93,"Metzker, K./ Coughenour, M - unpublished",-2.854,35.514,661,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,2.7,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,94,"Metzker, K./ Coughenour, M - unpublished",-2.845,35.519,662,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,95,"Metzker, K./ Coughenour, M - unpublished",-2.708,35.606,631,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,96,"Metzker, K./ Coughenour, M - unpublished",-2.708,35.616,637,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,97,"Metzker, K./ Coughenour, M - unpublished",-2.708,35.624,643,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,98,"Metzker, K./ Coughenour, M - unpublished",-2.708,35.634,650,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,99,"Metzker, K./ Coughenour, M - unpublished",-2.71,35.644,671,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,100,"Metzker, K./ Coughenour, M - unpublished",-2.697,35.646,658,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,101,"Metzker, K./ Coughenour, M - unpublished",-2.691,35.646,658,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,102,"Metzker, K./ Coughenour, M - unpublished",-2.715,35.635,664,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,103,"Metzker, K./ Coughenour, M - unpublished",-2.722,35.633,663,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,110,"Metzker, K./ Coughenour, M - unpublished",-3.305,35.108,761,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,120,"Metzker, K./ Coughenour, M - unpublished",-3.452,35.037,793,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.1,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,121,"Metzker, K./ Coughenour, M - unpublished",-3.444,35.039,789,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),9.2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,122,"Metzker, K./ Coughenour, M - unpublished",-3.442,35.043,794,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,123,"Metzker, K./ Coughenour, M - unpublished",-3.438,35.05,794,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),29.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,124,"Metzker, K./ Coughenour, M - unpublished",-3.436,35.053,794,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),6.2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,125,"Metzker, K./ Coughenour, M - unpublished",-3.432,35.036,785,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.3,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,126,"Metzker, K./ Coughenour, M - unpublished",-3.457,35.057,802,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),1.2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Terminalia brownii
East Africa,Tanzania,Serengeti National Park,127,"Metzker, K./ Coughenour, M - unpublished",-3.445,35.051,798,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),2.8,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,128,"Metzker, K./ Coughenour, M - unpublished",-3.439,35.039,789,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,129,"Metzker, K./ Coughenour, M - unpublished",-3.444,35.097,822,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),2.2,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,130,"Metzker, K./ Coughenour, M - unpublished",-3.448,35.09,821,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0.7,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,131,"Metzker, K./ Coughenour, M - unpublished",-3.45,35.084,816,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),2.3,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,Commiphora sp.
East Africa,Tanzania,Serengeti National Park,132,"Metzker, K./ Coughenour, M - unpublished",-3.457,35.079,816,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,133,"Metzker, K./ Coughenour, M - unpublished",-3.449,35.073,811,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),6.7,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,134,"Metzker, K./ Coughenour, M - unpublished",-3.443,35.065,803,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),4.6,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,135,"Metzker, K./ Coughenour, M - unpublished",-3.438,35.061,799,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),1.4,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,136,"Metzker, K./ Coughenour, M - unpublished",-3.442,35.06,803,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),1,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,137,"Metzker, K./ Coughenour, M - unpublished",-3.439,35.052,798,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),14.6,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,138,"Metzker, K./ Coughenour, M - unpublished",-3.439,35.053,798,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),2,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
East Africa,Tanzania,Serengeti National Park,141,"Metzker, K./ Coughenour, M - unpublished",-3.35,34.983,733,Rainfall values for the Serengeti sites derived from smaller-scales rainfall grids of the region (Coughenour - unpublished),0,,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,densiometer for trees/ visual estimates for shrubs,,1 ha,,
